
0.001,-2.10370E-012
0.002,-1.94950E-012
0.003,-1.85930E-012
0.004,-1.79540E-012
0.005,-1.74570E-012
0.006,-1.70520E-012
0.007,-1.67090E-012
0.008,-1.64130E-012
0.009,-1.61510E-012
0.01,-1.59170E-012
0.011,-1.57050E-012
0.012,-1.55120E-012
0.013,-1.53340E-012
0.014,-1.51690E-012
0.015,-1.50160E-012
0.016,-1.48730E-012
0.017,-1.47380E-012
0.018,-1.46110E-012
0.019,-1.44910E-012
0.02,-1.43770E-012
0.021,-1.42690E-012
0.022,-1.41660E-012
0.023,-1.40670E-012
0.024,-1.39730E-012
0.025,-1.38820E-012
0.026,-1.37950E-012
0.027,-1.37120E-012
0.028,-1.36310E-012
0.029,-1.35530E-012
0.03,-1.34780E-012
0.031,-1.34050E-012
0.032,-1.33350E-012
0.033,-1.32670E-012
0.034,-1.32010E-012
0.035,-1.31360E-012
0.036,-1.30740E-012
0.037,-1.30130E-012
0.038,-1.29540E-012
0.039,-1.28970E-012
0.04,-1.28410E-012
0.041,-1.27860E-012
0.042,-1.27330E-012
0.043,-1.26810E-012
0.044,-1.26300E-012
0.045,-1.25800E-012
0.046,-1.25310E-012
0.047,-1.24840E-012
0.048,-1.24370E-012
0.049,-1.23910E-012
0.05,-1.23470E-012
0.051,-1.23030E-012
0.052,-1.22600E-012
0.053,-1.22180E-012
0.054,-1.21770E-012
0.055,-1.21360E-012
0.056,-1.20960E-012
0.057,-1.20570E-012
0.058,-1.20190E-012
0.059,-1.19810E-012
0.06,-1.19440E-012
0.061,-1.19070E-012
0.062,-1.18710E-012
0.063,-1.18360E-012
0.064,-1.18010E-012
0.065,-1.17670E-012
0.066,-1.17330E-012
0.067,-1.17000E-012
0.068,-1.16670E-012
0.069,-1.16350E-012
0.07,-1.16030E-012
0.071,-1.15720E-012
0.072,-1.15410E-012
0.073,-1.15100E-012
0.074,-1.14800E-012
0.075,-1.14510E-012
0.076,-1.14220E-012
0.077,-1.13930E-012
0.078,-1.13640E-012
0.079,-1.13360E-012
0.08,-1.13080E-012
0.081,-1.12810E-012
