d_electrode[mm], C0[F]
0.246,-9.91260E-013
0.247,-9.90290E-013
0.248,-9.89300E-013
0.249,-9.88310E-013
0.25,-9.87320E-013
0.251,-9.86340E-013
0.252,-9.85370E-013
0.253,-9.84400E-013
0.254,-9.83420E-013
0.255,-9.82450E-013
0.256,-9.81490E-013
0.257,-9.80540E-013
0.258,-9.79590E-013
0.259,-9.78650E-013
0.26,-9.77700E-013
0.261,-9.76750E-013
0.262,-9.75820E-013
0.263,-9.74880E-013
0.264,-9.73950E-013
0.265,-9.73020E-013
0.266,-9.72100E-013
0.267,-9.71180E-013
0.268,-9.70270E-013
0.269,-9.69360E-013
0.27,-9.68480E-013
0.271,-9.67580E-013
0.272,-9.66680E-013
0.273,-9.65780E-013
0.274,-9.64910E-013
0.275,-9.63990E-013
0.276,-9.63040E-013
0.277,-9.62150E-013
0.278,-9.61280E-013
0.279,-9.60400E-013
0.28,-9.59540E-013
0.281,-9.58670E-013
0.282,-9.57800E-013
0.283,-9.56940E-013
0.284,-9.56070E-013
0.285,-9.55210E-013
0.286,-9.54360E-013
0.287,-9.53490E-013
0.288,-9.52640E-013
0.289,-9.51800E-013
0.29,-9.50950E-013
0.291,-9.50100E-013
0.292,-9.49260E-013
0.293,-9.48430E-013
0.294,-9.47590E-013
0.295,-9.46760E-013
0.296,-9.45930E-013
0.297,-9.45100E-013
0.298,-9.44280E-013
0.299,-9.43460E-013
0.3,-9.42650E-013
0.301,-9.41830E-013
0.302,-9.41020E-013
0.303,-9.40210E-013
0.304,-9.39410E-013
0.305,-9.38600E-013
0.306,-9.37810E-013
0.307,-9.37010E-013
0.308,-9.36210E-013
0.309,-9.35420E-013
0.31,-9.34630E-013
0.311,-9.33860E-013
0.312,-9.33070E-013
0.313,-9.32280E-013
0.314,-9.31500E-013
0.315,-9.30710E-013
0.316,-9.29940E-013
0.317,-9.29160E-013
0.318,-9.28420E-013
0.319,-9.27650E-013
0.32,-9.26890E-013
0.321,-9.26120E-013
0.322,-9.25370E-013
0.323,-9.24610E-013
0.324,-9.23860E-013
0.325,-9.23120E-013
0.326,-9.22370E-013
0.327,-9.21620E-013
0.328,-9.20880E-013
0.329,-9.20130E-013
0.33,-9.19340E-013
0.331,-9.18610E-013
0.332,-9.17870E-013
0.333,-9.17130E-013
0.334,-9.16410E-013
0.335,-9.15680E-013
0.336,-9.14950E-013
0.337,-9.14220E-013
0.338,-9.13500E-013
0.339,-9.12780E-013
0.34,-9.12060E-013
0.341,-9.11340E-013
0.342,-9.10620E-013
0.343,-9.09910E-013
0.344,-9.09200E-013
0.345,-9.08500E-013
0.346,-9.07800E-013
0.347,-9.07090E-013
0.348,-9.06390E-013
0.349,-9.05690E-013
0.35,-9.04990E-013
0.351,-9.04300E-013
0.352,-9.03600E-013
0.353,-9.02910E-013
0.354,-9.02220E-013
0.355,-9.01540E-013
0.356,-9.00860E-013
0.357,-9.00170E-013
0.358,-8.99490E-013
0.359,-8.98810E-013
0.36,-8.98130E-013
0.361,-8.97450E-013
0.362,-8.96770E-013
0.363,-8.96100E-013
0.364,-8.95430E-013
0.365,-8.94760E-013
0.366,-8.94100E-013
0.367,-8.93430E-013
0.368,-8.92770E-013
0.369,-8.92090E-013
0.37,-8.91430E-013
0.371,-8.90770E-013
0.372,-8.90120E-013
0.373,-8.89460E-013
0.374,-8.88810E-013
0.375,-8.88180E-013
0.376,-8.87530E-013
0.377,-8.86890E-013
0.378,-8.86250E-013
0.379,-8.85600E-013
0.38,-8.84970E-013
0.381,-8.84330E-013
0.382,-8.83690E-013
0.383,-8.83040E-013
0.384,-8.82440E-013
0.385,-8.81810E-013
0.386,-8.81180E-013
0.387,-8.80550E-013
0.388,-8.79920E-013
0.389,-8.79290E-013
0.39,-8.78660E-013
0.391,-8.78040E-013
0.392,-8.77420E-013
0.393,-8.76800E-013
0.394,-8.76180E-013
0.395,-8.75530E-013
0.396,-8.74920E-013
0.397,-8.74300E-013
0.398,-8.73690E-013
0.399,-8.73080E-013
0.4,-8.72470E-013
0.401,-8.71860E-013
0.402,-8.71260E-013
0.403,-8.70650E-013
0.404,-8.70050E-013
0.405,-8.69470E-013
0.406,-8.68850E-013
0.407,-8.68270E-013
0.408,-8.67660E-013
0.409,-8.67060E-013
0.41,-8.66450E-013
0.411,-8.65870E-013
0.412,-8.65280E-013
0.413,-8.64690E-013
0.414,-8.64100E-013
0.415,-8.63510E-013
0.416,-8.62930E-013
0.417,-8.62350E-013
0.418,-8.61770E-013
0.419,-8.61190E-013
0.42,-8.60590E-013
0.421,-8.60030E-013
0.422,-8.59450E-013
0.423,-8.58880E-013
0.424,-8.58300E-013
0.425,-8.57740E-013
0.426,-8.57180E-013
0.427,-8.56610E-013
0.428,-8.56040E-013
0.429,-8.55480E-013
0.43,-8.54910E-013
0.431,-8.54350E-013
0.432,-8.53790E-013
0.433,-8.53230E-013
0.434,-8.52670E-013
0.435,-8.52110E-013
0.436,-8.51550E-013
0.437,-8.51000E-013
0.438,-8.50420E-013
0.439,-8.49870E-013
0.44,-8.49320E-013
0.441,-8.48790E-013
0.442,-8.48240E-013
0.443,-8.47690E-013
0.444,-8.47120E-013
0.445,-8.46580E-013
0.446,-8.46030E-013
0.447,-8.45490E-013
0.448,-8.44950E-013
0.449,-8.44410E-013
0.45,-8.43870E-013
0.451,-8.43340E-013
0.452,-8.42800E-013
0.453,-8.42260E-013
0.454,-8.41730E-013
0.455,-8.41200E-013
0.456,-8.40670E-013
0.457,-8.40130E-013
0.458,-8.39600E-013
0.459,-8.39070E-013
0.46,-8.38540E-013
0.461,-8.38020E-013
0.462,-8.37490E-013
0.463,-8.36980E-013
0.464,-8.36450E-013
0.465,-8.35930E-013
0.466,-8.35410E-013
0.467,-8.34890E-013
0.468,-8.34370E-013
0.469,-8.33860E-013
0.47,-8.33340E-013
0.471,-8.32820E-013
0.472,-8.32310E-013
0.473,-8.31800E-013
0.474,-8.31290E-013
0.475,-8.30780E-013
0.476,-8.30270E-013
0.477,-8.29760E-013
0.478,-8.29250E-013
0.479,-8.28740E-013
0.48,-8.28240E-013
0.481,-8.27730E-013
0.482,-8.27230E-013
0.483,-8.26720E-013
0.484,-8.26220E-013
0.485,-8.25740E-013
0.486,-8.25240E-013
0.487,-8.24740E-013
0.488,-8.24240E-013
0.489,-8.23750E-013
0.49,-8.23250E-013
0.491,-8.22760E-013
0.492,-8.22270E-013
0.493,-8.21770E-013
0.494,-8.21280E-013
0.495,-8.20790E-013
0.496,-8.20300E-013
0.497,-8.19820E-013
0.498,-8.19330E-013
0.499,-8.18850E-013
0.5,-8.18360E-013
0.501,-8.17850E-013
0.502,-8.17370E-013
0.503,-8.16900E-013
0.504,-8.16420E-013
0.505,-8.15940E-013
0.506,-8.15460E-013
0.507,-8.14990E-013
0.508,-8.14510E-013
0.509,-8.14030E-013
0.51,-8.13560E-013
0.511,-8.13090E-013
0.512,-8.12610E-013
0.513,-8.12140E-013
0.514,-8.11650E-013
0.515,-8.11170E-013
0.516,-8.10710E-013
0.517,-8.10280E-013
0.518,-8.09810E-013
0.519,-8.09340E-013
0.52,-8.08880E-013
0.521,-8.08410E-013
0.522,-8.07950E-013
0.523,-8.07480E-013
0.524,-8.07030E-013
0.525,-8.06570E-013
0.526,-8.06110E-013
0.527,-8.05630E-013
0.528,-8.05180E-013
0.529,-8.04730E-013
0.53,-8.04270E-013
0.531,-8.03820E-013
0.532,-8.03360E-013
0.533,-8.02910E-013
0.534,-8.02460E-013
0.535,-8.02000E-013
0.536,-8.01550E-013
0.537,-8.01100E-013
0.538,-8.00660E-013
0.539,-8.00210E-013
0.54,-7.99760E-013
0.541,-7.99320E-013
0.542,-7.98870E-013
0.543,-7.98430E-013
0.544,-7.97980E-013
0.545,-7.97530E-013
0.546,-7.97090E-013
0.547,-7.96660E-013
0.548,-7.96220E-013
0.549,-7.95780E-013
0.55,-7.95340E-013
0.551,-7.94900E-013
0.552,-7.94460E-013
0.553,-7.94020E-013
0.554,-7.93580E-013
0.555,-7.93150E-013
0.556,-7.92710E-013
0.557,-7.92280E-013
0.558,-7.91850E-013
0.559,-7.91410E-013
0.56,-7.90980E-013
0.561,-7.90550E-013
0.562,-7.90120E-013
0.563,-7.89690E-013
0.564,-7.89260E-013
0.565,-7.88840E-013
0.566,-7.88410E-013
0.567,-7.87990E-013
0.568,-7.87560E-013
0.569,-7.87140E-013
0.57,-7.86720E-013
0.571,-7.86290E-013
0.572,-7.85870E-013
0.573,-7.85450E-013
0.574,-7.85030E-013
0.575,-7.84610E-013
0.576,-7.84190E-013
0.577,-7.83770E-013
0.578,-7.83360E-013
0.579,-7.82960E-013
0.58,-7.82550E-013
0.581,-7.82130E-013
0.582,-7.81720E-013
0.583,-7.81300E-013
0.584,-7.80890E-013
0.585,-7.80480E-013
0.586,-7.80030E-013
0.587,-7.79610E-013
0.588,-7.79190E-013
0.589,-7.78780E-013
0.59,-7.78370E-013
0.591,-7.77970E-013
0.592,-7.77560E-013
0.593,-7.77160E-013
0.594,-7.76750E-013
0.595,-7.76360E-013
0.596,-7.75950E-013
0.597,-7.75550E-013
0.598,-7.75140E-013
0.599,-7.74740E-013
0.6,-7.74340E-013
0.601,-7.73940E-013
0.602,-7.73540E-013
0.603,-7.73140E-013
0.604,-7.72740E-013
0.605,-7.72340E-013
0.606,-7.71940E-013
0.607,-7.71550E-013
0.608,-7.71150E-013
0.609,-7.70750E-013
0.61,-7.70360E-013
0.611,-7.69970E-013
0.612,-7.69580E-013
0.613,-7.69180E-013
0.614,-7.68790E-013
0.615,-7.68400E-013
0.616,-7.68010E-013
0.617,-7.67620E-013
0.618,-7.67230E-013
0.619,-7.66840E-013
0.62,-7.66460E-013
0.621,-7.66070E-013
0.622,-7.65680E-013
0.623,-7.65290E-013
0.624,-7.64910E-013
0.625,-7.64520E-013
0.626,-7.64140E-013
0.627,-7.63750E-013
0.628,-7.63370E-013
0.629,-7.62990E-013
0.63,-7.62610E-013
0.631,-7.62230E-013
0.632,-7.61850E-013
0.633,-7.61470E-013
0.634,-7.61090E-013
0.635,-7.60710E-013
0.636,-7.60330E-013
0.637,-7.59950E-013
0.638,-7.59580E-013
0.639,-7.59200E-013
0.64,-7.58820E-013
0.641,-7.58450E-013
0.642,-7.58070E-013
0.643,-7.57700E-013
0.644,-7.57330E-013
0.645,-7.56950E-013
0.646,-7.56580E-013
0.647,-7.56210E-013
0.648,-7.55840E-013
0.649,-7.55460E-013
0.65,-7.55100E-013
0.651,-7.54730E-013
0.652,-7.54370E-013
0.653,-7.54000E-013
0.654,-7.53630E-013
0.655,-7.53260E-013
0.656,-7.52890E-013
0.657,-7.52530E-013
0.658,-7.52160E-013
0.659,-7.51800E-013
0.66,-7.51430E-013
0.661,-7.51080E-013
0.662,-7.50710E-013
0.663,-7.50350E-013
0.664,-7.49990E-013
0.665,-7.49630E-013
0.666,-7.49260E-013
0.667,-7.48900E-013
0.668,-7.48540E-013
0.669,-7.48180E-013
0.67,-7.47830E-013
0.671,-7.47470E-013
0.672,-7.47110E-013
0.673,-7.46750E-013
0.674,-7.46400E-013
0.675,-7.46040E-013
0.676,-7.45690E-013
0.677,-7.45330E-013
0.678,-7.44980E-013
0.679,-7.44620E-013
0.68,-7.44270E-013
0.681,-7.43920E-013
0.682,-7.43560E-013
0.683,-7.43210E-013
0.684,-7.42860E-013
0.685,-7.42510E-013
0.686,-7.42160E-013
0.687,-7.41810E-013
0.688,-7.41460E-013
0.689,-7.41110E-013
0.69,-7.40770E-013
0.691,-7.40420E-013
0.692,-7.40070E-013
0.693,-7.39730E-013
0.694,-7.39380E-013
0.695,-7.39040E-013
0.696,-7.38690E-013
0.697,-7.38350E-013
0.698,-7.38000E-013
0.699,-7.37660E-013
0.7,-7.37320E-013
0.701,-7.36990E-013
0.702,-7.36660E-013
0.703,-7.36320E-013
0.704,-7.35980E-013
0.705,-7.35640E-013
0.706,-7.35290E-013
0.707,-7.34960E-013
0.708,-7.34620E-013
0.709,-7.34280E-013
0.71,-7.33900E-013
0.711,-7.33560E-013
0.712,-7.33230E-013
0.713,-7.32890E-013
0.714,-7.32560E-013
0.715,-7.32220E-013
0.716,-7.31890E-013
0.717,-7.31550E-013
0.718,-7.31230E-013
0.719,-7.30890E-013
0.72,-7.30560E-013
0.721,-7.30230E-013
0.722,-7.29900E-013
0.723,-7.29570E-013
0.724,-7.29240E-013
0.725,-7.28910E-013
0.726,-7.28580E-013
0.727,-7.28250E-013
0.728,-7.27930E-013
0.729,-7.27610E-013
0.73,-7.27270E-013
0.731,-7.26950E-013
0.732,-7.26620E-013
0.733,-7.26300E-013
0.734,-7.26000E-013
0.735,-7.25670E-013
0.736,-7.25350E-013
0.737,-7.25020E-013
0.738,-7.24700E-013
0.739,-7.24370E-013
