d_electrode[mm], C0[F]
1.074,-6.35530E-013
1.075,-6.35310E-013
1.076,-6.35090E-013
1.077,-6.34870E-013
1.078,-6.34650E-013
1.079,-6.34430E-013
1.08,-6.34220E-013
1.081,-6.34000E-013
1.082,-6.33780E-013
1.083,-6.33560E-013
1.084,-6.33340E-013
1.085,-6.33130E-013
1.086,-6.32910E-013
1.087,-6.32690E-013
1.088,-6.32480E-013
1.089,-6.32260E-013
1.09,-6.32060E-013
1.091,-6.31840E-013
1.092,-6.31630E-013
1.093,-6.31410E-013
1.094,-6.31200E-013
1.095,-6.30970E-013
1.096,-6.30760E-013
1.097,-6.30540E-013
1.098,-6.30330E-013
1.099,-6.30120E-013
1.1,-6.29900E-013
1.101,-6.29680E-013
1.102,-6.29470E-013
1.103,-6.29260E-013
1.104,-6.29040E-013
1.105,-6.28830E-013
1.106,-6.28620E-013
1.107,-6.28400E-013
1.108,-6.28190E-013
1.109,-6.27980E-013
1.11,-6.27770E-013
1.111,-6.27550E-013
1.112,-6.27340E-013
1.113,-6.27130E-013
1.114,-6.26920E-013
1.115,-6.26710E-013
1.116,-6.26500E-013
1.117,-6.26290E-013
1.118,-6.26080E-013
1.119,-6.25870E-013
1.12,-6.25660E-013
1.121,-6.25450E-013
1.122,-6.25240E-013
1.123,-6.25030E-013
1.124,-6.24820E-013
1.125,-6.24610E-013
1.126,-6.24400E-013
1.127,-6.24190E-013
1.128,-6.23980E-013
1.129,-6.23770E-013
1.13,-6.23570E-013
1.131,-6.23360E-013
1.132,-6.23150E-013
1.133,-6.22960E-013
1.134,-6.22750E-013
1.135,-6.22540E-013
1.136,-6.22330E-013
1.137,-6.22110E-013
1.138,-6.21900E-013
1.139,-6.21700E-013
1.14,-6.21490E-013
1.141,-6.21290E-013
1.142,-6.21080E-013
1.143,-6.20870E-013
1.144,-6.20670E-013
1.145,-6.20460E-013
1.146,-6.20260E-013
1.147,-6.20050E-013
1.148,-6.19850E-013
1.149,-6.19640E-013
1.15,-6.19440E-013
1.151,-6.19230E-013
1.152,-6.19030E-013
1.153,-6.18830E-013
1.154,-6.18620E-013
1.155,-6.18420E-013
1.156,-6.18210E-013
1.157,-6.18010E-013
1.158,-6.17810E-013
1.159,-6.17610E-013
1.16,-6.17400E-013
1.161,-6.17200E-013
1.162,-6.16970E-013
1.163,-6.16770E-013
1.164,-6.16570E-013
1.165,-6.16370E-013
1.166,-6.16170E-013
1.167,-6.15970E-013
1.168,-6.15760E-013
1.169,-6.15590E-013
1.17,-6.15390E-013
1.171,-6.15190E-013
1.172,-6.14960E-013
1.173,-6.14760E-013
1.174,-6.14560E-013
1.175,-6.14350E-013
1.176,-6.14150E-013
1.177,-6.13950E-013
1.178,-6.13730E-013
1.179,-6.13530E-013
1.18,-6.13330E-013
1.181,-6.13130E-013
1.182,-6.12930E-013
1.183,-6.12740E-013
1.184,-6.12540E-013
1.185,-6.12340E-013
1.186,-6.12140E-013
1.187,-6.11940E-013
1.188,-6.11740E-013
1.189,-6.11550E-013
1.19,-6.11350E-013
1.191,-6.11150E-013
1.192,-6.10960E-013
1.193,-6.10760E-013
1.194,-6.10560E-013
1.195,-6.10370E-013
1.196,-6.10190E-013
1.197,-6.09990E-013
1.198,-6.09790E-013
1.199,-6.09600E-013
1.2,-6.09400E-013
1.201,-6.09210E-013
1.202,-6.09010E-013
1.203,-6.08820E-013
1.204,-6.08620E-013
1.205,-6.08430E-013
1.206,-6.08230E-013
1.207,-6.08040E-013
1.208,-6.07840E-013
1.209,-6.07650E-013
1.21,-6.07450E-013
1.211,-6.07260E-013
1.212,-6.07070E-013
1.213,-6.06870E-013
1.214,-6.06680E-013
1.215,-6.06490E-013
1.216,-6.06290E-013
1.217,-6.06100E-013
1.218,-6.05910E-013
1.219,-6.05720E-013
1.22,-6.05520E-013
1.221,-6.05330E-013
1.222,-6.05140E-013
1.223,-6.04950E-013
1.224,-6.04760E-013
1.225,-6.04560E-013
1.226,-6.04370E-013
1.227,-6.04180E-013
1.228,-6.03990E-013
1.229,-6.03790E-013
1.23,-6.03600E-013
1.231,-6.03410E-013
1.232,-6.03240E-013
1.233,-6.03050E-013
1.234,-6.02860E-013
1.235,-6.02670E-013
1.236,-6.02480E-013
1.237,-6.02290E-013
1.238,-6.02100E-013
1.239,-6.01910E-013
1.24,-6.01720E-013
1.241,-6.01530E-013
1.242,-6.01340E-013
1.243,-6.01150E-013
1.244,-6.00960E-013
1.245,-6.00780E-013
1.246,-6.00590E-013
1.247,-6.00400E-013
1.248,-6.00210E-013
1.249,-6.00030E-013
1.25,-5.99840E-013
1.251,-5.99650E-013
1.252,-5.99460E-013
1.253,-5.99280E-013
1.254,-5.99090E-013
1.255,-5.98900E-013
1.256,-5.98720E-013
1.257,-5.98530E-013
1.258,-5.98340E-013
1.259,-5.98160E-013
1.26,-5.97970E-013
1.261,-5.97790E-013
1.262,-5.97600E-013
1.263,-5.97410E-013
1.264,-5.97230E-013
1.265,-5.97040E-013
1.266,-5.96860E-013
1.267,-5.96670E-013
1.268,-5.96490E-013
1.269,-5.96300E-013
1.27,-5.96070E-013
1.271,-5.95890E-013
1.272,-5.95700E-013
1.273,-5.95520E-013
1.274,-5.95340E-013
1.275,-5.95150E-013
1.276,-5.94970E-013
1.277,-5.94790E-013
1.278,-5.94600E-013
1.279,-5.94420E-013
1.28,-5.94240E-013
1.281,-5.94050E-013
1.282,-5.93870E-013
1.283,-5.93690E-013
1.284,-5.93510E-013
1.285,-5.93320E-013
1.286,-5.93140E-013
1.287,-5.92960E-013
1.288,-5.92780E-013
1.289,-5.92600E-013
1.29,-5.92410E-013
1.291,-5.92230E-013
1.292,-5.92050E-013
1.293,-5.91870E-013
1.294,-5.91690E-013
1.295,-5.91510E-013
1.296,-5.91330E-013
1.297,-5.91150E-013
1.298,-5.90970E-013
1.299,-5.90790E-013
1.3,-5.90610E-013
1.301,-5.90430E-013
1.302,-5.90250E-013
1.303,-5.90070E-013
1.304,-5.89890E-013
1.305,-5.89710E-013
1.306,-5.89530E-013
1.307,-5.89350E-013
1.308,-5.89180E-013
1.309,-5.89000E-013
1.31,-5.88820E-013
1.311,-5.88640E-013
1.312,-5.88460E-013
1.313,-5.88280E-013
1.314,-5.88120E-013
1.315,-5.87940E-013
1.316,-5.87760E-013
1.317,-5.87580E-013
1.318,-5.87410E-013
1.319,-5.87230E-013
1.32,-5.87050E-013
1.321,-5.86870E-013
1.322,-5.86690E-013
1.323,-5.86520E-013
1.324,-5.86340E-013
1.325,-5.86170E-013
1.326,-5.85990E-013
1.327,-5.85810E-013
1.328,-5.85640E-013
1.329,-5.85460E-013
1.33,-5.85290E-013
1.331,-5.85110E-013
1.332,-5.84930E-013
1.333,-5.84760E-013
1.334,-5.84580E-013
1.335,-5.84410E-013
1.336,-5.84230E-013
1.337,-5.84060E-013
1.338,-5.83890E-013
1.339,-5.83710E-013
1.34,-5.83540E-013
1.341,-5.83360E-013
1.342,-5.83190E-013
1.343,-5.83010E-013
1.344,-5.82840E-013
1.345,-5.82670E-013
1.346,-5.82490E-013
1.347,-5.82320E-013
1.348,-5.82150E-013
1.349,-5.81970E-013
1.35,-5.81800E-013
1.351,-5.81630E-013
1.352,-5.81450E-013
1.353,-5.81280E-013
1.354,-5.81110E-013
1.355,-5.80940E-013
1.356,-5.80760E-013
1.357,-5.80590E-013
1.358,-5.80420E-013
1.359,-5.80250E-013
1.36,-5.80070E-013
1.361,-5.79910E-013
1.362,-5.79730E-013
1.363,-5.79560E-013
1.364,-5.79390E-013
1.365,-5.79220E-013
1.366,-5.79050E-013
1.367,-5.78880E-013
1.368,-5.78710E-013
1.369,-5.78540E-013
1.37,-5.78370E-013
1.371,-5.78200E-013
1.372,-5.78030E-013
1.373,-5.77860E-013
1.374,-5.77690E-013
1.375,-5.77520E-013
1.376,-5.77350E-013
1.377,-5.77180E-013
1.378,-5.77010E-013
1.379,-5.76840E-013
1.38,-5.76670E-013
1.381,-5.76500E-013
1.382,-5.76340E-013
1.383,-5.76170E-013
1.384,-5.76000E-013
1.385,-5.75830E-013
1.386,-5.75660E-013
1.387,-5.75490E-013
1.388,-5.75330E-013
1.389,-5.75160E-013
1.39,-5.74990E-013
1.391,-5.74820E-013
1.392,-5.74660E-013
1.393,-5.74490E-013
1.394,-5.74320E-013
1.395,-5.74150E-013
1.396,-5.73990E-013
1.397,-5.73820E-013
1.398,-5.73650E-013
1.399,-5.73490E-013
1.4,-5.73320E-013
1.401,-5.73150E-013
1.402,-5.72990E-013
1.403,-5.72820E-013
1.404,-5.72660E-013
1.405,-5.72490E-013
1.406,-5.72320E-013
1.407,-5.72160E-013
1.408,-5.71990E-013
1.409,-5.71830E-013
1.41,-5.71660E-013
1.411,-5.71500E-013
1.412,-5.71330E-013
1.413,-5.71170E-013
1.414,-5.71000E-013
1.415,-5.70840E-013
1.416,-5.70670E-013
1.417,-5.70510E-013
1.418,-5.70350E-013
1.419,-5.70180E-013
1.42,-5.70020E-013
1.421,-5.69850E-013
1.422,-5.69690E-013
1.423,-5.69530E-013
1.424,-5.69360E-013
1.425,-5.69200E-013
1.426,-5.69040E-013
1.427,-5.68870E-013
1.428,-5.68710E-013
1.429,-5.68550E-013
1.43,-5.68380E-013
1.431,-5.68220E-013
1.432,-5.68060E-013
1.433,-5.67900E-013
1.434,-5.67730E-013
1.435,-5.67570E-013
1.436,-5.67410E-013
1.437,-5.67250E-013
1.438,-5.67090E-013
1.439,-5.66920E-013
1.44,-5.66760E-013
1.441,-5.66600E-013
1.442,-5.66440E-013
1.443,-5.66280E-013
1.444,-5.66110E-013
1.445,-5.65960E-013
1.446,-5.65790E-013
1.447,-5.65630E-013
1.448,-5.65470E-013
1.449,-5.65310E-013
1.45,-5.65150E-013
1.451,-5.64990E-013
1.452,-5.64830E-013
1.453,-5.64670E-013
1.454,-5.64510E-013
1.455,-5.64350E-013
1.456,-5.64190E-013
1.457,-5.64030E-013
1.458,-5.63870E-013
1.459,-5.63710E-013
1.46,-5.63550E-013
1.461,-5.63390E-013
1.462,-5.63230E-013
1.463,-5.63080E-013
1.464,-5.62920E-013
1.465,-5.62760E-013
1.466,-5.62600E-013
1.467,-5.62440E-013
1.468,-5.62280E-013
1.469,-5.62120E-013
1.47,-5.61970E-013
1.471,-5.61810E-013
1.472,-5.61650E-013
1.473,-5.61490E-013
1.474,-5.61330E-013
1.475,-5.61180E-013
1.476,-5.61020E-013
1.477,-5.60860E-013
1.478,-5.60700E-013
1.479,-5.60550E-013
1.48,-5.60390E-013
1.481,-5.60230E-013
1.482,-5.60080E-013
1.483,-5.59920E-013
1.484,-5.59760E-013
1.485,-5.59610E-013
1.486,-5.59450E-013
1.487,-5.59290E-013
1.488,-5.59140E-013
1.489,-5.58980E-013
1.49,-5.58830E-013
1.491,-5.58670E-013
1.492,-5.58510E-013
1.493,-5.58360E-013
1.494,-5.58200E-013
1.495,-5.58050E-013
1.496,-5.57890E-013
1.497,-5.57730E-013
1.498,-5.57580E-013
1.499,-5.57430E-013
1.5,-5.57270E-013
1.501,-5.57120E-013
1.502,-5.56960E-013
1.503,-5.56810E-013
1.504,-5.56650E-013
1.505,-5.56500E-013
1.506,-5.56340E-013
1.507,-5.56190E-013
1.508,-5.56040E-013
1.509,-5.55880E-013
1.51,-5.55730E-013
1.511,-5.55570E-013
1.512,-5.55420E-013
1.513,-5.55270E-013
1.514,-5.55110E-013
1.515,-5.54960E-013
1.516,-5.54810E-013
1.517,-5.54660E-013
1.518,-5.54500E-013
1.519,-5.54350E-013
1.52,-5.54200E-013
1.521,-5.54040E-013
1.522,-5.53890E-013
1.523,-5.53740E-013
1.524,-5.53590E-013
1.525,-5.53440E-013
1.526,-5.53280E-013
1.527,-5.53130E-013
1.528,-5.52980E-013
1.529,-5.52830E-013
1.53,-5.52680E-013
1.531,-5.52520E-013
1.532,-5.52370E-013
1.533,-5.52220E-013
1.534,-5.52070E-013
1.535,-5.51920E-013
1.536,-5.51770E-013
1.537,-5.51620E-013
1.538,-5.51470E-013
1.539,-5.51320E-013
1.54,-5.51170E-013
1.541,-5.51010E-013
1.542,-5.50860E-013
1.543,-5.50710E-013
1.544,-5.50560E-013
1.545,-5.50410E-013
1.546,-5.50260E-013
1.547,-5.50110E-013
1.548,-5.49960E-013
1.549,-5.49810E-013
1.55,-5.49660E-013
1.551,-5.49520E-013
1.552,-5.49370E-013
1.553,-5.49220E-013
1.554,-5.49070E-013
1.555,-5.48920E-013
1.556,-5.48770E-013
1.557,-5.48620E-013
1.558,-5.48470E-013
1.559,-5.48320E-013
1.56,-5.48170E-013
1.561,-5.48030E-013
1.562,-5.47880E-013
1.563,-5.47730E-013
1.564,-5.47580E-013
1.565,-5.47430E-013
1.566,-5.47290E-013
1.567,-5.47140E-013
1.568,-5.46990E-013
1.569,-5.46840E-013
1.57,-5.46690E-013
1.571,-5.46550E-013
1.572,-5.46400E-013
1.573,-5.46250E-013
1.574,-5.46110E-013
1.575,-5.45960E-013
1.576,-5.45810E-013
1.577,-5.45660E-013
1.578,-5.45520E-013
1.579,-5.45370E-013
1.58,-5.45220E-013
1.581,-5.45080E-013
1.582,-5.44930E-013
1.583,-5.44780E-013
1.584,-5.44640E-013
1.585,-5.44490E-013
1.586,-5.44350E-013
1.587,-5.44200E-013
1.588,-5.44060E-013
1.589,-5.43910E-013
1.59,-5.43760E-013
1.591,-5.43620E-013
1.592,-5.43470E-013
1.593,-5.43330E-013
1.594,-5.43180E-013
1.595,-5.43040E-013
1.596,-5.42890E-013
1.597,-5.42750E-013
1.598,-5.42600E-013
1.599,-5.42460E-013
1.6,-5.42310E-013
1.601,-5.42170E-013
1.602,-5.42020E-013
1.603,-5.41880E-013
1.604,-5.41730E-013
1.605,-5.41590E-013
1.606,-5.41450E-013
1.607,-5.41300E-013
1.608,-5.41160E-013
1.609,-5.41000E-013
1.61,-5.40860E-013
1.611,-5.40710E-013
1.612,-5.40570E-013
1.613,-5.40430E-013
1.614,-5.40280E-013
1.615,-5.40140E-013
1.616,-5.40000E-013
1.617,-5.39850E-013
1.618,-5.39710E-013
1.619,-5.39570E-013
1.62,-5.39430E-013
1.621,-5.39280E-013
1.622,-5.39140E-013
1.623,-5.39000E-013
1.624,-5.38860E-013
1.625,-5.38710E-013
1.626,-5.38570E-013
1.627,-5.38430E-013
1.628,-5.38290E-013
1.629,-5.38150E-013
1.63,-5.38000E-013
1.631,-5.37860E-013
1.632,-5.37720E-013
1.633,-5.37580E-013
1.634,-5.37440E-013
1.635,-5.37300E-013
1.636,-5.37150E-013
1.637,-5.37010E-013
1.638,-5.36870E-013
1.639,-5.36730E-013
1.64,-5.36590E-013
1.641,-5.36450E-013
1.642,-5.36310E-013
1.643,-5.36170E-013
1.644,-5.36030E-013
1.645,-5.35890E-013
1.646,-5.35750E-013
1.647,-5.35610E-013
1.648,-5.35470E-013
1.649,-5.35330E-013
1.65,-5.35190E-013
1.651,-5.35050E-013
1.652,-5.34910E-013
1.653,-5.34770E-013
1.654,-5.34630E-013
1.655,-5.34490E-013
1.656,-5.34350E-013
1.657,-5.34210E-013
1.658,-5.34070E-013
1.659,-5.33930E-013
1.66,-5.33790E-013
1.661,-5.33650E-013
1.662,-5.33510E-013
1.663,-5.33370E-013
1.664,-5.33230E-013
1.665,-5.33100E-013
1.666,-5.32960E-013
1.667,-5.32820E-013
1.668,-5.32680E-013
1.669,-5.32540E-013
1.67,-5.32400E-013
1.671,-5.32270E-013
1.672,-5.32130E-013
1.673,-5.31990E-013
1.674,-5.31850E-013
1.675,-5.31710E-013
1.676,-5.31580E-013
1.677,-5.31440E-013
1.678,-5.31300E-013
1.679,-5.31160E-013
1.68,-5.31030E-013
1.681,-5.30890E-013
1.682,-5.30750E-013
1.683,-5.30610E-013
1.684,-5.30480E-013
1.685,-5.30340E-013
1.686,-5.30200E-013
1.687,-5.30070E-013
1.688,-5.29930E-013
1.689,-5.29800E-013
1.69,-5.29660E-013
1.691,-5.29530E-013
1.692,-5.29390E-013
1.693,-5.29260E-013
1.694,-5.29120E-013
1.695,-5.28980E-013
1.696,-5.28850E-013
1.697,-5.28710E-013
1.698,-5.28570E-013
1.699,-5.28440E-013
1.7,-5.28300E-013
1.701,-5.28170E-013
1.702,-5.28030E-013
1.703,-5.27900E-013
1.704,-5.27760E-013
1.705,-5.27630E-013
1.706,-5.27490E-013
1.707,-5.27360E-013
1.708,-5.27220E-013
1.709,-5.27090E-013
1.71,-5.26950E-013
1.711,-5.26820E-013
1.712,-5.26680E-013
1.713,-5.26550E-013
1.714,-5.26410E-013
1.715,-5.26280E-013
1.716,-5.26140E-013
1.717,-5.26010E-013
1.718,-5.25880E-013
1.719,-5.25740E-013
1.72,-5.25610E-013
1.721,-5.25470E-013
1.722,-5.25340E-013
1.723,-5.25210E-013
1.724,-5.25070E-013
1.725,-5.24940E-013
1.726,-5.24800E-013
1.727,-5.24670E-013
1.728,-5.24540E-013
1.729,-5.24400E-013
1.73,-5.24270E-013
1.731,-5.24140E-013
1.732,-5.24000E-013
1.733,-5.23870E-013
1.734,-5.23740E-013
1.735,-5.23610E-013
1.736,-5.23470E-013
1.737,-5.23340E-013
1.738,-5.23210E-013
1.739,-5.23080E-013
1.74,-5.22940E-013
1.741,-5.22810E-013
1.742,-5.22680E-013
1.743,-5.22550E-013
1.744,-5.22410E-013
1.745,-5.22280E-013
1.746,-5.22150E-013
1.747,-5.22020E-013
1.748,-5.21890E-013
1.749,-5.21760E-013
1.75,-5.21620E-013
1.751,-5.21490E-013
1.752,-5.21360E-013
1.753,-5.21230E-013
1.754,-5.21100E-013
1.755,-5.20970E-013
1.756,-5.20840E-013
1.757,-5.20700E-013
1.758,-5.20570E-013
1.759,-5.20440E-013
1.76,-5.20310E-013
1.761,-5.20180E-013
1.762,-5.20050E-013
1.763,-5.19920E-013
1.764,-5.19790E-013
1.765,-5.19660E-013
1.766,-5.19530E-013
1.767,-5.19400E-013
1.768,-5.19270E-013
1.769,-5.19140E-013
1.77,-5.19010E-013
1.771,-5.18880E-013
1.772,-5.18750E-013
1.773,-5.18620E-013
1.774,-5.18490E-013
1.775,-5.18360E-013
1.776,-5.18230E-013
1.777,-5.18100E-013
1.778,-5.17970E-013
1.779,-5.17840E-013
1.78,-5.17710E-013
1.781,-5.17580E-013
1.782,-5.17450E-013
1.783,-5.17320E-013
1.784,-5.17200E-013
1.785,-5.17070E-013
1.786,-5.16940E-013
1.787,-5.16810E-013
1.788,-5.16680E-013
1.789,-5.16550E-013
1.79,-5.16420E-013
1.791,-5.16290E-013
1.792,-5.16170E-013
1.793,-5.16040E-013
1.794,-5.15910E-013
1.795,-5.15780E-013
1.796,-5.15650E-013
1.797,-5.15530E-013
1.798,-5.15400E-013
1.799,-5.15270E-013
1.8,-5.15140E-013
1.801,-5.15010E-013
1.802,-5.14890E-013
1.803,-5.14760E-013
1.804,-5.14630E-013
1.805,-5.14500E-013
1.806,-5.14380E-013
1.807,-5.14250E-013
1.808,-5.14120E-013
1.809,-5.14000E-013
1.81,-5.13870E-013
1.811,-5.13750E-013
1.812,-5.13620E-013
1.813,-5.13490E-013
1.814,-5.13370E-013
1.815,-5.13240E-013
1.816,-5.13110E-013
1.817,-5.12990E-013
1.818,-5.12860E-013
1.819,-5.12730E-013
1.82,-5.12610E-013
1.821,-5.12480E-013
1.822,-5.12360E-013
1.823,-5.12230E-013
1.824,-5.12100E-013
1.825,-5.11980E-013
1.826,-5.11850E-013
1.827,-5.11730E-013
1.828,-5.11600E-013
1.829,-5.11470E-013
1.83,-5.11350E-013
1.831,-5.11220E-013
1.832,-5.11100E-013
1.833,-5.10970E-013
1.834,-5.10850E-013
1.835,-5.10720E-013
1.836,-5.10600E-013
1.837,-5.10470E-013
1.838,-5.10350E-013
1.839,-5.10220E-013
1.84,-5.10100E-013
1.841,-5.09970E-013
1.842,-5.09850E-013
1.843,-5.09720E-013
1.844,-5.09600E-013
1.845,-5.09480E-013
1.846,-5.09350E-013
1.847,-5.09230E-013
1.848,-5.09110E-013
1.849,-5.08980E-013
1.85,-5.08860E-013
1.851,-5.08730E-013
1.852,-5.08610E-013
1.853,-5.08490E-013
1.854,-5.08360E-013
1.855,-5.08240E-013
1.856,-5.08120E-013
1.857,-5.07990E-013
1.858,-5.07870E-013
1.859,-5.07740E-013
1.86,-5.07620E-013
1.861,-5.07500E-013
1.862,-5.07370E-013
1.863,-5.07250E-013
1.864,-5.07130E-013
1.865,-5.07010E-013
1.866,-5.06880E-013
1.867,-5.06760E-013
1.868,-5.06640E-013
1.869,-5.06510E-013
1.87,-5.06390E-013
1.871,-5.06270E-013
1.872,-5.06150E-013
1.873,-5.06020E-013
1.874,-5.05900E-013
1.875,-5.05780E-013
1.876,-5.05660E-013
1.877,-5.05530E-013
1.878,-5.05410E-013
1.879,-5.05290E-013
1.88,-5.05170E-013
1.881,-5.05050E-013
1.882,-5.04920E-013
1.883,-5.04800E-013
1.884,-5.04680E-013
1.885,-5.04560E-013
1.886,-5.04440E-013
1.887,-5.04320E-013
1.888,-5.04190E-013
1.889,-5.04070E-013
1.89,-5.03950E-013
1.891,-5.03830E-013
1.892,-5.03710E-013
1.893,-5.03590E-013
1.894,-5.03470E-013
1.895,-5.03350E-013
1.896,-5.03230E-013
1.897,-5.03100E-013
1.898,-5.02980E-013
1.899,-5.02860E-013
1.9,-5.02740E-013
1.901,-5.02620E-013
1.902,-5.02500E-013
1.903,-5.02380E-013
1.904,-5.02260E-013
1.905,-5.02140E-013
1.906,-5.02020E-013
1.907,-5.01900E-013
1.908,-5.01780E-013
1.909,-5.01660E-013
1.91,-5.01540E-013
1.911,-5.01420E-013
1.912,-5.01300E-013
1.913,-5.01180E-013
1.914,-5.01060E-013
1.915,-5.00940E-013
1.916,-5.00820E-013
1.917,-5.00700E-013
1.918,-5.00580E-013
1.919,-5.00460E-013
1.92,-5.00340E-013
1.921,-5.00220E-013
1.922,-5.00110E-013
1.923,-4.99990E-013
1.924,-4.99870E-013
1.925,-4.99750E-013
1.926,-4.99630E-013
1.927,-4.99510E-013
1.928,-4.99390E-013
1.929,-4.99270E-013
1.93,-4.99150E-013
1.931,-4.99040E-013
1.932,-4.98920E-013
1.933,-4.98800E-013
1.934,-4.98680E-013
1.935,-4.98560E-013
1.936,-4.98440E-013
1.937,-4.98330E-013
1.938,-4.98210E-013
1.939,-4.98090E-013
1.94,-4.97970E-013
1.941,-4.97850E-013
1.942,-4.97740E-013
1.943,-4.97620E-013
1.944,-4.97500E-013
1.945,-4.97380E-013
1.946,-4.97270E-013
1.947,-4.97150E-013
1.948,-4.97030E-013
1.949,-4.96910E-013
1.95,-4.96800E-013
1.951,-4.96680E-013
1.952,-4.96560E-013
1.953,-4.96440E-013
1.954,-4.96330E-013
1.955,-4.96210E-013
1.956,-4.96090E-013
1.957,-4.95980E-013
1.958,-4.95860E-013
1.959,-4.95740E-013
1.96,-4.95620E-013
1.961,-4.95500E-013
1.962,-4.95390E-013
1.963,-4.95270E-013
1.964,-4.95150E-013
1.965,-4.95040E-013
1.966,-4.94920E-013
1.967,-4.94810E-013
1.968,-4.94690E-013
1.969,-4.94570E-013
1.97,-4.94460E-013
1.971,-4.94340E-013
1.972,-4.94220E-013
1.973,-4.94110E-013
1.974,-4.93990E-013
1.975,-4.93880E-013
1.976,-4.93760E-013
1.977,-4.93650E-013
1.978,-4.93530E-013
1.979,-4.93420E-013
1.98,-4.93300E-013
1.981,-4.93180E-013
1.982,-4.93070E-013
1.983,-4.92950E-013
1.984,-4.92840E-013
1.985,-4.92720E-013
1.986,-4.92610E-013
1.987,-4.92490E-013
1.988,-4.92380E-013
1.989,-4.92260E-013
1.99,-4.92150E-013
1.991,-4.92030E-013
1.992,-4.91920E-013
1.993,-4.91800E-013
1.994,-4.91690E-013
1.995,-4.91570E-013
1.996,-4.91460E-013
1.997,-4.91350E-013
1.998,-4.91230E-013
1.999,-4.91120E-013
2,-4.91000E-013
2.001,-4.90890E-013
2.002,-4.90780E-013
2.003,-4.90660E-013
2.004,-4.90550E-013
2.005,-4.90430E-013
2.006,-4.90320E-013
2.007,-4.90210E-013
2.008,-4.90090E-013
2.009,-4.89980E-013
2.01,-4.89870E-013
2.011,-4.89750E-013
2.012,-4.89640E-013
2.013,-4.89520E-013
2.014,-4.89410E-013
2.015,-4.89300E-013
2.016,-4.89180E-013
2.017,-4.89070E-013
2.018,-4.88960E-013
2.019,-4.88850E-013
2.02,-4.88730E-013
2.021,-4.88620E-013
2.022,-4.88510E-013
2.023,-4.88390E-013
2.024,-4.88280E-013
2.025,-4.88170E-013
2.026,-4.88060E-013
2.027,-4.87940E-013
2.028,-4.87830E-013
2.029,-4.87720E-013
2.03,-4.87610E-013
2.031,-4.87490E-013
2.032,-4.87380E-013
2.033,-4.87270E-013
2.034,-4.87160E-013
2.035,-4.87040E-013
2.036,-4.86930E-013
2.037,-4.86820E-013
2.038,-4.86710E-013
2.039,-4.86600E-013
2.04,-4.86480E-013
2.041,-4.86370E-013
2.042,-4.86260E-013
2.043,-4.86150E-013
2.044,-4.86040E-013
2.045,-4.85930E-013
2.046,-4.85810E-013
2.047,-4.85700E-013
2.048,-4.85590E-013
2.049,-4.85480E-013
2.05,-4.85370E-013
2.051,-4.85260E-013
2.052,-4.85150E-013
2.053,-4.85040E-013
2.054,-4.84930E-013
2.055,-4.84820E-013
2.056,-4.84710E-013
2.057,-4.84600E-013
2.058,-4.84490E-013
2.059,-4.84370E-013
2.06,-4.84260E-013
2.061,-4.84150E-013
2.062,-4.84040E-013
2.063,-4.83930E-013
2.064,-4.83820E-013
2.065,-4.83710E-013
2.066,-4.83600E-013
2.067,-4.83490E-013
2.068,-4.83380E-013
2.069,-4.83270E-013
2.07,-4.83160E-013
2.071,-4.83050E-013
2.072,-4.82940E-013
2.073,-4.82830E-013
2.074,-4.82720E-013
2.075,-4.82610E-013
2.076,-4.82500E-013
2.077,-4.82390E-013
2.078,-4.82280E-013
2.079,-4.82170E-013
2.08,-4.82060E-013
2.081,-4.81950E-013
2.082,-4.81840E-013
2.083,-4.81730E-013
2.084,-4.81630E-013
2.085,-4.81520E-013
2.086,-4.81410E-013
2.087,-4.81300E-013
2.088,-4.81190E-013
2.089,-4.81080E-013
2.09,-4.80970E-013
2.091,-4.80860E-013
2.092,-4.80750E-013
2.093,-4.80640E-013
2.094,-4.80540E-013
2.095,-4.80430E-013
2.096,-4.80320E-013
2.097,-4.80210E-013
2.098,-4.80100E-013
2.099,-4.79990E-013
2.1,-4.79880E-013
2.101,-4.79770E-013
2.102,-4.79660E-013
2.103,-4.79550E-013
2.104,-4.79440E-013
2.105,-4.79330E-013
2.106,-4.79230E-013
2.107,-4.79120E-013
2.108,-4.79010E-013
2.109,-4.78900E-013
2.11,-4.78790E-013
2.111,-4.78690E-013
2.112,-4.78580E-013
2.113,-4.78470E-013
2.114,-4.78360E-013
2.115,-4.78260E-013
2.116,-4.78150E-013
2.117,-4.78040E-013
2.118,-4.77930E-013
2.119,-4.77830E-013
2.12,-4.77720E-013
2.121,-4.77610E-013
2.122,-4.77510E-013
2.123,-4.77400E-013
2.124,-4.77290E-013
2.125,-4.77180E-013
2.126,-4.77080E-013
2.127,-4.76970E-013
2.128,-4.76860E-013
2.129,-4.76760E-013
2.13,-4.76650E-013
2.131,-4.76540E-013
2.132,-4.76440E-013
2.133,-4.76330E-013
2.134,-4.76220E-013
2.135,-4.76120E-013
2.136,-4.76010E-013
2.137,-4.75900E-013
2.138,-4.75800E-013
2.139,-4.75690E-013
2.14,-4.75580E-013
2.141,-4.75480E-013
2.142,-4.75370E-013
2.143,-4.75270E-013
2.144,-4.75160E-013
2.145,-4.75050E-013
2.146,-4.74950E-013
2.147,-4.74840E-013
2.148,-4.74740E-013
